vrm,vrm.1,column_2,make,make.1,column_5,model,model.1,column_8,page
AC52 CAR,,,Mercedes,,,E220 CDI Elegance Auto,,,3
,DS68 TLU,,,Vauxhall,,,Vivaro,,3
NV19 FJE,,,Skoda,,,Octavia Hatchback,,,3
,SD19 UBP,,,Ford,,,Mondeo,,3
SB70 KFJ,,,Skoda,,,Octavia SE,,,3
,YX55 FKY,,,Renault,,,Master,,3
DU67 YLA,,,Vauxhall,,,Zafira,,,3
,SK22 VFY,,,MG,,,5 Excite,,3
DL14 CYO,,,Vauxhall,,,Vivaro,,,3
SK22 VGE,,,,MG MG 5,,,,,3
,,,,Excite EV,,,,,3
BT20VYP,,,Ford,,,Tourneo Custom,,,3
YE65 XTY,,,Ford,,,,Tourneo Cust 300 SET,,3
,,,,,,,TDCI,,3
SF66 ENL,,,Peugeot,,,Vito,,,3
,SL70 WXV,,,Fiat,,,Tipo Lounge,,3
GF18 WAA,,,Skoda,,,Superb SE TSI S-A,,,3
YX55 FKT,,,Renault,,,,Master LM35 DC1 100,,3
,,,,,,,LW B,,3
SG62 URV,,,Fiat,,,Ducato 35 Multijet,,,3
,SF11 AWP,,,Peugeot,,,7,,4
SK22 VFV,,,"MG MG 5
Excite EV",,,,,,4
SJ65 AUU,,,,Peugeot,,,,,4
,,,,Partner,,,,,4
GM17 ZBT,,,Skoda,,,Octavia,,,4
,JC07 BAT,,,Ford,,,Mondeo,,4
LR18 KSF,,,Vauxhall,,,Vivaro,,,4
,HX18 AUV,,,Peugeot,,,Boxer Minibus,,4
YJ66 KKS,,,Renault,,,Master SL28,,,4
,T555 GPH,,,Skoda,,,Superb S TDI S-A,,4
SK22 VGC,,,MG5,,,Electric Estate Excite,,,4
,SK22 VFX,,,MG,,,MG5 Excite,,4
YM66 XAC,,,Ford,,,Tourneo,,,4
,WP63 SZX,,,Fiat,,,199LXY1AL0D,,4
MJ22 GOA,,,"Mercedes-
Benz",,,Evito Tourer Pro,,,4
,SK21 KFJ,,,Skoda,,,NX,,4
OE19 YOK,,,Peugeot,,,308 SW,,,4
,NG65 DYC,,,Peugeot,,,Partner Tepee S HDI,,4
MA12 LVV,,,Peugeot,,,508 Active HDI,,,4
,SG70 XYL,,,Dacia,,,Duster Essential TCE 4X2,,4
SO23 OCE,,,Vauxhall,,,Vivaro E,,,4
,KY21 ULB,,,Seat,,,Euro 6,,4
SL71 XFP,,,MG5,,,Electric Estate Excite,,,4
,SF14 AUP,,,Peugeot,,,Horizon,,4
SF66 OUM,,,Ford,,,Freedom RS,,,4
,SE13 WGO,,,Peugeot,,,Boxer 333 L1H1 HDI,,4
SF64 EXT,,,Peugeot,,,Premier S,,,4
,RO18 ERJ,,,Ford,,,Tourneo Custom,,4
SF19 KZA,,,Ford,,,Pro Cab,,,4
,SF67 AZA,,,Peugeot,,,Horizon RS Blue HDI S/S,,4
YT71 ZJN,,,Ford,,,CFAC,,,4
SA71XHT,,,Ford,,,,Tourneo Custom 320 TI,,4
,,,,,,,EBLUE,,4
SF16 EZW,,,Peugeot,,,Euro Taxi,,,4
SD63 FEX,,,,Peugeot,,Horizon S AC,,,4
,,,,Horizon,,,,,4
LM51 CAB,,,Ford,,,"Tourneo Custom 310 T-
NIUM TDCi",,,4
,SH63 AVK,,,Nissan,,,NV200,,4
SF11 KHM,,,Peugeot,,,Partner,,,4
,SC66 MWA,,,Renault,,,Trafic,,4
JP55 JGP,,,Vauxhall,,,Vivario,,,4
,DV16 RCO,,,Vauxhall,,,VX8,,5
SF18 PXT,,,Ford,,,Alllied Pro-Cab,,,5
,SF14 BHY,,,Peugeot,,,Premier,,5
SF64 HFA,,,Peugeot,,,7TP,,,5
,YY18 ZHK,,,Volkswagen,,,Caddy Maxi,,5
SF68KTE,,,Ford,,,Allied Procab,,,5
,LK16 MGJ,,,Vauxhall,,,Vivaro Combi CDTI S/S,,5
SF17 BTE,,,Ford,,,Tourneo Connect,,,5
,SF20 AWG,,,Ford Pro Cab,,,,,5
AC52 CAB,,,Ford,,,Maxi Cab,,,5
,SF68 LGK,,,Mercedes,,,Benz,,5
DU19 KKB,,,Vauxhall,,,Vivaro Combi CDTi S/S,,,5
,GK16 XVP,,,Volkswagen,,,Transporter,,5
SF66 FXC,,,Peugeot,,,G9,,,5
,MK16 KLJ,,,Vauxhall,,,Vivaro,,5
SD63 DMY,,,Peugeot,,,Premier,,,5
,SF68 DYG,,,Peugeot,,,Premier RX 1.6,,5
SF64 HEU,,,Peugeot,,,7TP,,,5
,AC53 CAB,,,LEVC,,,HRE,,5
SF18 AVE,,,Ford,,,Tourneo Custom,,,5
,PO19 XWX,,,Renault,,,Trafic,,5
SF20 AFK,,,Ford,,,Procab,,,5
,SN15 YRD,,,Renault,,,Trafic,,5
YN69 AYA,,,Ford,,,Maxi Cab,,,5
,YJ69 BBO,,,Ford,,,Maxi Cab,,5
NK18CBO,,,Volkswagen,,,Caddy Maxi C20 Life TDI,,,5
,SF65 NZE,,,Ford,,,Tourneo,,5
SF60 CBU,,,Fiat,,,Scudo Combi 120 SWB,,,5
,SF65 GNJ,,,Peugeot,,,Partner,,5
SF61 CTE,,,Fiat,,,TW200,,,5
,SF67 HPV,,,Ford,,,Freedom,,5
RC51 TAX,,,Mercedes,,,Benz,,,5
,SF67 DNN,,,Peugeot,,,,,5
YJ65 XYU,,,Ford,,,Tourneo Cust 300,,,5
,SF65 NVO,,,Ford,,,Tourneo Connect,,5
YH 21 CZX,,,Renault,,,Trafic Business Energy,,,5
,SF68 DDJ,,,Peugeot,,,Horizon RS Blue,,5
SJ19 RHN,,,Volkswagon,,,"Caddy maxi C20 LIFE
TDI S-A",,,5
,K20 CDW,,,Peugeot,,,Partner Tepee,,5
YT18 GFY,,,Ford Tourneo,,,"Custom 310 T-NIUM
TDCi",,,5
,YJ65 XXW,,,Ford,,,Torneo Cust 300,,5
LO16 HKH,,,Vauxhall,,,Vivaro LZ Diesel,,,5
SF12 GJY,,,,Peugeot,,,,,6
,,,,Premier S 7,,,,,6
SF64 SXW,,,Ford,,,Tourneo,,,6
,SF13 FUT,,,Peugeot,,,Horizon S AC,,6
YJ69 BBN,,,Ford,,,Maxi Cab,,,6
,SN19 KYK,,,Mercedes,,,Vito 114 Bluetec Tourer,,6
SF18 BWV,,,Ford Tourneo,,,,,,6
,DY64 AZG,,,Vauxhall,,,Vivaro,,6
AC57 AXE,,,Ford,,,Transit,,,6
,PN68 NVZ,,,Renault,,,Traffic,,6
KR22 BGX,,,Mercedes,,,Vito,,,6
,SF18 AVG,,,Ford,,,Tourneo Custom,,6
SF13 FZB,,,Peugeot,,,Premier,,,6
,LO16 HPE,,,Vauxhall,,,Vivaro,,6
BN67 YHM,,,Ford,,,Tourneo,,,6
,DS12 SX0,,,Vauxhall,,,Vivaro,,6
GN67DJJ,,,Volkswagen,,,Caddy Maxi,,,6
,SF12 ONB,,,Peugeot,,,Horizon,,6
AC51 CAB,,,LEVC,,,TX Vista,,,6
,SF70 EKB,,,Ford,,,Euro,,6
MK17 VYD,,,Ford,,,Transit,,,6
,SF64 FXG,,,Peugeot,,,Euro Taxi LX,,6
MP10 ZZZ,,,Vauxhall,,,Vivaro,,,6
,SF11 ONK,,,Peugeot,,,Partner Tepee S HDI 92,,6
AD68 DFA,,,Volkswagen,,,Euro,,,6
,MX71 XHV,,,Ford,,,Tourneo Custom 320 TI,,6
SH73 TPF,,,LEVC,,,TX Vista Comfort Plus,,,6
,T17 ALL,,,Ford,,,Allied,,6
HV67 BZE,,,Renault,,,Trafic,,,6
,LJ13 ARU,,,Fiat,,,Doblo Dynamic M-Jet,,6
SF15 GFJ,,,Peugeot,,,Expert,,,6
,GR19 GWR,,,Renault,,,Trafic,,6
SF17 BNO,,,Ford,,,Freedom,,,6
,SF66 DRX,,,Ford,,,Ford Tourneo,,6
SF14 BUJ,,,Peugeot,,,Horizon S,,,6
WD67 NOU,,,Ford,,,,Tourneo Connect GRD,,6
,,,,,,,Zetec TDCI,,6
SD63 FTN,,,Peugeot,,,Premier,,,6
FJ68 TWG,,,,Mercedes-,,,,,6
,,,,Benz,,,,,6
SD17 OUF,,,Peugeot,,,Premier RS Blue HDI S/S,,,6
,SK62 UPV,,,Renault,,,Trafic,,6
MF68 UYR,,,Ford,,,Tourneo,,,6
,LM68 LXF,,,Vauxhall,,,Vivaro,,6
SF68 KLO,Ford Pro Cab,Ford Pro Cab,,,,,,,7
